|Gilgamesz|babil|XVIII-XVw.p.n.e.
Musli|Człowiek bez właściwości|austr.|1930-43
Tołstoj A.N.|Piotr I|ros.|1930-44
Saint-Exupery|Nocny lot|fr.|1931
Huxley A.|Nowy wspaniały świat|ang.|1932
Mauriac|Kłębowisko żmij|fr.|1932
Faulkner|Światłość wsierpniu|amer.|1932
Coline|Podróż do kresu nocy|fr.|1932
Malraux|Dola człowiecza|fr|1933
Miller H.|Zwrotnik Raka|amer.|1934
Mann H.|Henryk IV|niem|1935-38
Capek K.|Inwazja Jaszczurów|czes.|1936
Faulkner|Absalomie, Absalomie!|amer.|1936
Steinbeck|Grona gniewu|amer.|1939
Hemingway|Komu bije dzwon|amer.|1940
Erenburg|Upadek Paryża|ros.|1942
Seghers|Siódmy krzyż|niem.|1942
Andrić|Most na Drinie|jugosł.|1945
Sartre|Drogi wolności|fr.|1945-49
Warren|Gubernator|amer.|1946
Broch|Śmierć Wergiliusza|austr.|1947
Mann Th.|Doktor Faustus|niem.|1947
Camus|Dżuma|fr.|1947
Greene|Sedno sprawy|ang.|1948
Beckett|Czekając na Godota|irl.|1952
Ionesco|Krzesła|fr.|1952
Carpentier|Podróż do źródeł czasu|kubańska|1953
Camus|Upadek|fr.|1956
Butor|Odmiany czasu|fr.|1956
Durrenmatt|Wizyta sarszej pani|szwajc.|1956
Frisch|Homo Faber|szwajc.|1957
Aragon|Wielki Tydzień|fr.|1958
